epoch,lr,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,val_precision,val_recall,val_f1
1,9.999999999999999e-05,0.4415366252263387,0.8280038759689923,0.9380223445362565,0.44869018226919377,0.8333333333333334,0.9745154099631711,0.8172157279489904,0.9987012987012988,0.8988895382817066
2,0.00019999999999999998,0.22949978875746388,0.9530038759689923,0.9852734505044696,0.20915881247189694,0.9556840077071291,0.9908412483039348,0.9513715710723192,0.990909090909091,0.9707379134860051
3,0.0003,0.20633785194055193,0.9626937984496124,0.9904184274216417,0.19555929677851627,0.964354527938343,0.9940056212444272,0.9633375474083439,0.9896103896103896,0.9762972453555413
4,0.0003,0.18267824619951045,0.9735949612403101,0.9936601919169665,0.17373872432061013,0.9759152215799615,0.9959197518899012,0.9781771501925546,0.9896103896103896,0.9838605551969012
5,0.00029744596495258525,0.18113368944855324,0.9731104651162791,0.9944588424417646,0.17974242329712317,0.9788053949903661,0.9932012017832913,0.9794871794871794,0.9922077922077922,0.9858064516129033
6,0.0002898708344106533,0.16998363063744268,0.9806201550387597,0.9959379208674266,0.16739904355107016,0.9797687861271677,0.9959294436906377,0.9869960988296489,0.9857142857142858,0.98635477582846
7,0.0002775325703594421,0.17157725183031233,0.9794089147286822,0.9954897033706983,0.16291936874561916,0.9778420038535646,0.9976788137235899,0.9895150720838795,0.9805194805194806,0.9849967384213959
8,9.999999999999999e-06,0.16317219455118123,0.9830426356589147,0.9951908813206751,0.17044445457428636,0.9739884393063584,0.9972814498933902,0.9894598155467721,0.9753246753246754,0.9823413996075867
9,1.9999999999999998e-05,0.15759333979647053,0.9864341085271318,0.9968655907982985,0.17359093087142144,0.9710982658959537,0.9970488466757124,0.9907161803713528,0.9701298701298702,0.9803149606299213
10,2.9999999999999997e-05,0.15060659284077169,0.9844961240310077,0.9988316294980271,0.17676489706903065,0.9710982658959537,0.995076565225819,0.9946524064171123,0.9662337662337662,0.9802371541501976
11,2.9999999999999997e-05,0.1565096471925232,0.9849806201550387,0.9978537857090402,0.16097028928168247,0.9816955684007708,0.9964479550300447,0.9934296977660972,0.9818181818181818,0.9875898105813194
12,2.9744596495258527e-05,0.1501707008578644,0.9883720930232558,0.9980358224637936,0.16572617290107272,0.9788053949903661,0.995682302771855,0.9947089947089947,0.9766233766233766,0.9855832241153342
13,2.8987083441065332e-05,0.1483722590412478,0.9886143410852714,0.9979792236248244,0.164348677647711,0.9797687861271677,0.9955756929637526,0.9934123847167325,0.9792207792207792,0.9862655330281229
14,2.7753257035944212e-05,0.1504347515014325,0.9876453488372093,0.9970264111151969,0.18211503899683154,0.9662813102119461,0.9946598177941461,0.9946164199192463,0.9597402597402598,0.976867151354924
