path,true_label,pred_label,probability,error_type,confidence_margin
data/raw/chest_xray/test/NORMAL/test_normal_00000.jpeg,Normal,Pneumonia,0.5849,FP,0.0849
data/raw/chest_xray/test/NORMAL/test_normal_00008.jpeg,Normal,Pneumonia,0.8505,FP,0.3505
data/raw/chest_xray/test/NORMAL/test_normal_00011.jpeg,Normal,Pneumonia,0.7513,FP,0.2513
data/raw/chest_xray/test/NORMAL/test_normal_00012.jpeg,Normal,Pneumonia,0.8196,FP,0.3196
data/raw/chest_xray/test/NORMAL/test_normal_00014.jpeg,Normal,Pneumonia,0.7593,FP,0.2593
data/raw/chest_xray/test/NORMAL/test_normal_00016.jpeg,Normal,Pneumonia,0.9753,FP,0.4753
data/raw/chest_xray/test/NORMAL/test_normal_00020.jpeg,Normal,Pneumonia,0.6732,FP,0.1732
data/raw/chest_xray/test/NORMAL/test_normal_00022.jpeg,Normal,Pneumonia,0.8747,FP,0.3747
data/raw/chest_xray/test/NORMAL/test_normal_00027.jpeg,Normal,Pneumonia,0.6266,FP,0.1266
data/raw/chest_xray/test/NORMAL/test_normal_00030.jpeg,Normal,Pneumonia,0.9119,FP,0.4119
data/raw/chest_xray/test/NORMAL/test_normal_00040.jpeg,Normal,Pneumonia,0.9121,FP,0.4121
data/raw/chest_xray/test/NORMAL/test_normal_00045.jpeg,Normal,Pneumonia,0.9817,FP,0.4817
data/raw/chest_xray/test/NORMAL/test_normal_00046.jpeg,Normal,Pneumonia,0.7853,FP,0.2853
data/raw/chest_xray/test/NORMAL/test_normal_00049.jpeg,Normal,Pneumonia,0.9652,FP,0.4652
data/raw/chest_xray/test/NORMAL/test_normal_00052.jpeg,Normal,Pneumonia,0.917,FP,0.417
data/raw/chest_xray/test/NORMAL/test_normal_00056.jpeg,Normal,Pneumonia,0.7063,FP,0.2063
data/raw/chest_xray/test/NORMAL/test_normal_00059.jpeg,Normal,Pneumonia,0.8662,FP,0.3662
data/raw/chest_xray/test/NORMAL/test_normal_00061.jpeg,Normal,Pneumonia,0.672,FP,0.172
data/raw/chest_xray/test/NORMAL/test_normal_00062.jpeg,Normal,Pneumonia,0.8998,FP,0.3998
data/raw/chest_xray/test/NORMAL/test_normal_00066.jpeg,Normal,Pneumonia,0.9412,FP,0.4412
data/raw/chest_xray/test/NORMAL/test_normal_00067.jpeg,Normal,Pneumonia,0.9523,FP,0.4523
data/raw/chest_xray/test/NORMAL/test_normal_00080.jpeg,Normal,Pneumonia,0.777,FP,0.277
data/raw/chest_xray/test/NORMAL/test_normal_00087.jpeg,Normal,Pneumonia,0.5399,FP,0.0399
data/raw/chest_xray/test/NORMAL/test_normal_00093.jpeg,Normal,Pneumonia,0.9565,FP,0.4565
data/raw/chest_xray/test/NORMAL/test_normal_00103.jpeg,Normal,Pneumonia,0.676,FP,0.176
data/raw/chest_xray/test/NORMAL/test_normal_00104.jpeg,Normal,Pneumonia,0.5824,FP,0.0824
data/raw/chest_xray/test/NORMAL/test_normal_00105.jpeg,Normal,Pneumonia,0.7912,FP,0.2912
data/raw/chest_xray/test/NORMAL/test_normal_00106.jpeg,Normal,Pneumonia,0.5262,FP,0.0262
data/raw/chest_xray/test/NORMAL/test_normal_00108.jpeg,Normal,Pneumonia,0.7566,FP,0.2566
data/raw/chest_xray/test/NORMAL/test_normal_00115.jpeg,Normal,Pneumonia,0.5872,FP,0.0872
data/raw/chest_xray/test/NORMAL/test_normal_00116.jpeg,Normal,Pneumonia,0.6341,FP,0.1341
data/raw/chest_xray/test/NORMAL/test_normal_00119.jpeg,Normal,Pneumonia,0.9139,FP,0.4139
data/raw/chest_xray/test/NORMAL/test_normal_00120.jpeg,Normal,Pneumonia,0.9143,FP,0.4143
data/raw/chest_xray/test/NORMAL/test_normal_00121.jpeg,Normal,Pneumonia,0.9586,FP,0.4586
data/raw/chest_xray/test/NORMAL/test_normal_00122.jpeg,Normal,Pneumonia,0.8509,FP,0.3509
data/raw/chest_xray/test/NORMAL/test_normal_00123.jpeg,Normal,Pneumonia,0.9813,FP,0.4813
data/raw/chest_xray/test/NORMAL/test_normal_00124.jpeg,Normal,Pneumonia,0.9768,FP,0.4768
data/raw/chest_xray/test/NORMAL/test_normal_00126.jpeg,Normal,Pneumonia,0.9612,FP,0.4612
data/raw/chest_xray/test/NORMAL/test_normal_00128.jpeg,Normal,Pneumonia,0.7662,FP,0.2662
data/raw/chest_xray/test/NORMAL/test_normal_00129.jpeg,Normal,Pneumonia,0.9708,FP,0.4708
data/raw/chest_xray/test/NORMAL/test_normal_00130.jpeg,Normal,Pneumonia,0.976,FP,0.476
data/raw/chest_xray/test/NORMAL/test_normal_00131.jpeg,Normal,Pneumonia,0.9303,FP,0.4303
data/raw/chest_xray/test/NORMAL/test_normal_00132.jpeg,Normal,Pneumonia,0.9741,FP,0.4741
data/raw/chest_xray/test/NORMAL/test_normal_00133.jpeg,Normal,Pneumonia,0.9103,FP,0.4103
data/raw/chest_xray/test/NORMAL/test_normal_00134.jpeg,Normal,Pneumonia,0.9669,FP,0.4669
data/raw/chest_xray/test/NORMAL/test_normal_00135.jpeg,Normal,Pneumonia,0.8392,FP,0.3392
data/raw/chest_xray/test/NORMAL/test_normal_00136.jpeg,Normal,Pneumonia,0.9491,FP,0.4491
data/raw/chest_xray/test/NORMAL/test_normal_00140.jpeg,Normal,Pneumonia,0.9851,FP,0.4851
data/raw/chest_xray/test/NORMAL/test_normal_00141.jpeg,Normal,Pneumonia,0.9307,FP,0.4307
data/raw/chest_xray/test/NORMAL/test_normal_00143.jpeg,Normal,Pneumonia,0.9686,FP,0.4686
data/raw/chest_xray/test/NORMAL/test_normal_00144.jpeg,Normal,Pneumonia,0.9812,FP,0.4812
data/raw/chest_xray/test/NORMAL/test_normal_00145.jpeg,Normal,Pneumonia,0.9656,FP,0.4656
data/raw/chest_xray/test/NORMAL/test_normal_00146.jpeg,Normal,Pneumonia,0.9482,FP,0.4482
data/raw/chest_xray/test/NORMAL/test_normal_00160.jpeg,Normal,Pneumonia,0.872,FP,0.372
data/raw/chest_xray/test/NORMAL/test_normal_00165.jpeg,Normal,Pneumonia,0.9605,FP,0.4605
data/raw/chest_xray/test/NORMAL/test_normal_00166.jpeg,Normal,Pneumonia,0.7626,FP,0.2626
data/raw/chest_xray/test/NORMAL/test_normal_00173.jpeg,Normal,Pneumonia,0.6047,FP,0.1047
data/raw/chest_xray/test/NORMAL/test_normal_00181.jpeg,Normal,Pneumonia,0.9754,FP,0.4754
data/raw/chest_xray/test/NORMAL/test_normal_00182.jpeg,Normal,Pneumonia,0.9696,FP,0.4696
data/raw/chest_xray/test/NORMAL/test_normal_00188.jpeg,Normal,Pneumonia,0.648,FP,0.148
data/raw/chest_xray/test/NORMAL/test_normal_00190.jpeg,Normal,Pneumonia,0.637,FP,0.137
data/raw/chest_xray/test/NORMAL/test_normal_00191.jpeg,Normal,Pneumonia,0.6479,FP,0.1479
data/raw/chest_xray/test/NORMAL/test_normal_00193.jpeg,Normal,Pneumonia,0.9394,FP,0.4394
data/raw/chest_xray/test/NORMAL/test_normal_00198.jpeg,Normal,Pneumonia,0.8753,FP,0.3753
data/raw/chest_xray/test/NORMAL/test_normal_00200.jpeg,Normal,Pneumonia,0.9469,FP,0.4469
data/raw/chest_xray/test/NORMAL/test_normal_00209.jpeg,Normal,Pneumonia,0.6281,FP,0.1281
data/raw/chest_xray/test/NORMAL/test_normal_00220.jpeg,Normal,Pneumonia,0.7188,FP,0.2188
data/raw/chest_xray/test/NORMAL/test_normal_00221.jpeg,Normal,Pneumonia,0.6491,FP,0.1491
data/raw/chest_xray/test/NORMAL/test_normal_00222.jpeg,Normal,Pneumonia,0.5384,FP,0.0384
data/raw/chest_xray/test/NORMAL/test_normal_00226.jpeg,Normal,Pneumonia,0.8971,FP,0.3971
data/raw/chest_xray/test/NORMAL/test_normal_00230.jpeg,Normal,Pneumonia,0.7171,FP,0.2171
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00282.jpeg,Pneumonia,Normal,0.1359,FN,0.3641
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00391.jpeg,Pneumonia,Normal,0.1662,FN,0.3338
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00473.jpeg,Pneumonia,Normal,0.4149,FN,0.0851
data/raw/chest_xray/test/PNEUMONIA/test_pneumonia_00602.jpeg,Pneumonia,Normal,0.2615,FN,0.2385
