epoch,lr,train_loss,train_acc,train_auc,val_loss,val_acc,val_auc,val_precision,val_recall,val_f1
1,9.999999999999999e-05,0.33567177238721607,0.8849321705426356,0.9509916272404249,0.24163804784675555,0.9431599229287091,0.9807133165342121,0.9598965071151359,0.9636363636363636,0.9617627997407647
2,0.00019999999999999998,0.2273724589044648,0.9530038759689923,0.9855640710121928,0.233515602861296,0.9354527938342967,0.9883746850164761,0.928136419001218,0.9896103896103896,0.9578881206788183
3,0.0003,0.2161009959402801,0.9590600775193798,0.9881610624579199,0.24109795214410923,0.9258188824662813,0.9938117852296957,0.9129916567342073,0.9948051948051948,0.9521441889372281
4,0.0003,0.1849303206497075,0.9733527131782945,0.9943544063584344,0.22693013748681615,0.9470134874759152,0.9860001938360148,0.9710144927536232,0.9571428571428572,0.9640287769784173
5,0.00029744596495258525,0.18554060353479404,0.9726259689922481,0.993434957488885,0.2423543739123611,0.9402697495183044,0.9968743942624539,1.0,0.9194805194805195,0.9580514208389715
6,0.0002898708344106533,0.17151375071850816,0.9794089147286822,0.9952182389721038,0.23966109362181442,0.9470134874759152,0.9945628997867804,1.0,0.9285714285714286,0.9629629629629629
7,0.0002775325703594421,0.16405585919271773,0.9835271317829457,0.9971551786620281,0.21923999669234875,0.9595375722543352,0.9977563481294824,0.9986301369863013,0.9467532467532468,0.972
8,9.999999999999999e-06,0.16018458678313532,0.9825581395348837,0.9969546621568739,0.21057449938704284,0.9605009633911368,0.9966272533436713,0.9986320109439124,0.948051948051948,0.9726848767488341
9,1.9999999999999998e-05,0.1625035186953168,0.9820736434108527,0.9965065322913693,0.19687217298844875,0.9633911368015414,0.9972426826904439,0.9986376021798365,0.951948051948052,0.9747340425531915
10,2.9999999999999997e-05,0.155110699765255,0.9859496124031008,0.9982721367714325,0.1969393122804877,0.9624277456647399,0.9966708664469859,0.9986357435197817,0.9506493506493506,0.9740518962075848
11,2.9999999999999997e-05,0.1540866642903271,0.9857073643410853,0.9977887154243312,0.1844318927281854,0.9682080924855492,0.9961814305097888,0.9973009446693657,0.9597402597402598,0.9781601588352085
12,2.9744596495258527e-05,0.1547132295795029,0.9854651162790697,0.9978293090789814,0.19458506389849448,0.9672447013487476,0.9970876138786586,1.0,0.9558441558441558,0.9774236387782205
13,2.8987083441065332e-05,0.1502694573705596,0.9876453488372093,0.9980784855328833,0.17549151030004828,0.9710982658959537,0.9976206629191704,0.9973118279569892,0.9636363636363636,0.9801849405548216
14,2.7753257035944212e-05,0.1539838847512225,0.9849806201550387,0.9976893318478965,0.19517481753419588,0.9633911368015414,0.9968501647606125,0.9986376021798365,0.951948051948052,0.9747340425531915
